city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
New York,USA,40.7128,-74.006,2023,6,15.8,25.83,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,7,8.37,20.87,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,8,10.7,37.34,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,9,7.76,21.88,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,10,21.37,35.25,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,11,18.92,17.16,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,12,26.87,12.08,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,1,13.35,12.81,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,2,26.78,24.4,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,3,37.16,24.77,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,4,23.27,35.29,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,5,30.71,31.39,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,6,22.3,28.05,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,7,28.07,22.1,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,8,17.64,45.14,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,9,14.14,15.37,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,10,15.53,30.02,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,11,8.54,32.47,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2024,12,18.5,15.81,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,1,8.33,34.38,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,2,26.56,20.48,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,3,31.59,39.09,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,4,10.57,20.6,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,5,39.01,37.85,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,6,29.25,23.83,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,7,18.92,30.46,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,8,7.72,21.55,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,9,7.42,32.43,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,10,12.7,20.87,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,11,19.89,19.38,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2025,12,17.37,27.37,Moderate,Federal Reference Method,EPA_AQS
